relativePath,sha256
.gitignore,196CB026130C32B5FC530649B8B62D7066DC4672665656EB87B31358FF48E3F9
01-decisions/legal-person-demo-facts.json,A300E9DD5F54F80E43F984EE0FC392E64073F46A1734EE97F6F4A202A267D727
01-decisions/missing-signing-inputs.md,2271884E8B2F5EE7A8DD75829FA77DEB0DB4533C911022FA2786FD980C2DF573
01-decisions/provisional-decisions.md,A971B66F627871BD23AB7ABB1A1EB00FCA84D944621E662CB3C462CB4B89DB06
01-decisions/repository-evidence.md,BE14392728AD4E7F63BFC5D575D1C3518DC62C68659E97F59C278AB35CA74FF3
01-decisions/signing-readiness-checklist.md,709647F2C641045082F3BD0E4BE232A9088F289DA61BE84F6C38FA558F06CF1C
02-config/a-group-public-demo-key/provider-key.private.jwk.json,FF044BA5756E16D2E922E5C99EE309C0F1C42E74D45FFF941DE9F139A6F6EB43
02-config/a-group-public-demo-key/README.md,9A45F7B6673D52F0DAD441C0C27E63AEB4C85978895D4F981B4CD0D3961D8DF7
02-config/demo-config.json,69D7132AB497C30393A9BF41D02957DCF3BA987AF9703AF17B2395BEF8B39777
03-normalized-metadata/dataset-metadata.jsonld,2AFE843549FC5D694035B0E4EC37402B089E7739C9C9059BC821314E56DB0F28
04-credential-source/legal-person.jsonld,4F5B7B83B9908DEDFE2B5BDA22DBE45860AF654029838B03C1BB5420226E0E95
04-credential-source/service-offering.jsonld,D81E24648B98D950E2A4D73DBD31EAAB25BD26BC9A293E8B2E8687C10B27661F
05-signed/es256-candidate/legal-person.es256-candidate.vc.jwt,91A74D11291CFD9EF4563C5EB256EB33FF067B71A730015E03EBED55DE494F68
05-signed/es256-candidate/presentation.es256-candidate.vp.jwt,59AAC864565F0519BFEED65D8AB578E6F55174EEB2EB83D2270CFDEFD1A38B09
05-signed/es256-candidate/service-offering.es256-candidate.vc.jwt,8BA76DEC695D50A16BA7EA5C3D82C2BA8F37D3B40DFB5135C4F0DEBBFF891EEB
06-invalid-tests/es256-candidate-manifest.json,5500C724397C1B5865B514B8F7D2CD6A16DD368B36BC182F070E04AD0C049608
06-invalid-tests/README.md,4B1D9D861650736EB6AEB8792F51109AC3C75BBD9306B6594E946C018041E859
06-invalid-tests/signed-es256-candidate/legal-person.expired.es256-candidate.vc.jwt,4874F920E7FF996C38B436B00BEE194607213AFE5213D33FF0C7BA2C99DFF877
06-invalid-tests/signed-es256-candidate/legal-person.missing-name.es256-candidate.vc.jwt,B4FE7637EFF372614618224FCE49F5A8A06E0A4EEEA27E1372A3C0EA818764CF
06-invalid-tests/signed-es256-candidate/presentation.inv-01.es256-candidate.vp.jwt,41F38BE54CD4E73BB2B06668B4F671056E864A6FC2FC446E0D9B5B5BCE9B1C57
06-invalid-tests/signed-es256-candidate/presentation.inv-02.es256-candidate.vp.jwt,87756F89BE11EE210E97414427B1FEFD31BC116716C5F38FF7822519E221EED5
06-invalid-tests/signed-es256-candidate/presentation.inv-03.es256-candidate.vp.jwt,B82A8171C140A640BB3E342D198DE4A251E39013C4086892EC581FD8A165B6C4
06-invalid-tests/signed-es256-candidate/presentation.inv-04.es256-candidate.vp.jwt,6900DBB36FDFCB81FDFF7DDF2E006C3B8FC2F463919F74EE864DEDF368E01622
06-invalid-tests/signed-es256-candidate/presentation.inv-07.tampered-signature.es256-candidate.vp.jwt,0EFAC18062E6DBA56768C9265E86E0714542285737A028255748AE48F4DD62F1
06-invalid-tests/signed-es256-candidate/service-offering.dataset-mismatch.es256-candidate.vc.jwt,63C6A38636E287D1715B9E67A17E7910BEB59D3D548E64D200BF0DF074D4EAB8
06-invalid-tests/signed-es256-candidate/service-offering.provider-mismatch.es256-candidate.vc.jwt,A61B86F3CF4FB9B200F6CB230E49FC32153F1CE2A476C4CD03E9930B70822F40
06-invalid-tests/sources/dataset.reversed-dates.jsonld,D894945AF68A99DF8147A22B3C3D6FDD70A4CFD8CE8C47D9F78A80578163F724
06-invalid-tests/sources/dataset.wrong-format.jsonld,D6E67E1DAFC8A4BBCE1BD5BF658FF9962A6EB8D6FC209C571C815493B1CE2F87
06-invalid-tests/sources/legal-person.expired.jsonld,9B0519A0FFDD5DA3121A3DDFF8FA1A36C2BCF824AF67510D3DCBCD683CB80A55
06-invalid-tests/sources/legal-person.missing-name.jsonld,1CCFBBB0AC9E6460ABFD21EC943D538BAE1D80984CCAAA070FE3AA725E219038
06-invalid-tests/sources/service-offering.dataset-mismatch.jsonld,B6C39576499CFCB6593365B799A3E06D4D4ACAC6BC2B5BD9327660BEA4463BC7
06-invalid-tests/sources/service-offering.provider-mismatch.jsonld,E9AC97815E228383C14966BAE8D9D2122FCAA1A2D08AE47EEB2EB05FC2C06EF4
07-evidence/a-group-final-did-verification.md,1D87BEF872C028F165A92D9CF0C5875C6EB8387C224BE9FF2B00C86889D831B1
07-evidence/d-group-handoff-20260817/D组交付-ZIP解压/metadata/data-product-invalid.jsonld,0ADE622953414C5F53FDC40300972C6D47C6EA6FDF28E12071F7EA6EB86F7BD2
07-evidence/d-group-handoff-20260817/D组交付-ZIP解压/metadata/data-product-valid.jsonld,045A44A3180F3781579F95B762E25C25F32A34EAD418D1863800BFBDF4728B10
07-evidence/d-group-handoff-20260817/D组交付-ZIP解压/README.md,55F0A5D291FA7072E92BE01EB1EC0A557AA93652EF70675D73FC8C58FA833FAA
07-evidence/d-group-handoff-20260817/D组交付-ZIP解压/shacl-rules/building-energy-shapes_D.ttl,E5F150D7DBE338FCBB7B020585CC83713DE1FDB6B1A4BE393BE1BEF47895411E
07-evidence/d-group-handoff-20260817/D组交付-ZIP解压/validation-reports/Invalid_TC01.pdf,1EFC9CC791DD49E6D27574300809F1E45AA861304F5045A8E145F0ACC88FF7B4
07-evidence/d-group-handoff-20260817/D组交付-ZIP解压/validation-reports/Invalid_TC02.pdf,F00A328DB7F10F40564CB76D2BEC24C56FE50C3750D8631B46E26DFF3AA22A8F
07-evidence/d-group-handoff-20260817/D组交付-ZIP解压/validation-reports/valid_TC01.pdf,1B5D98E4380FEF330ACB8DE5FBE15144BF94269CEB5C947383AF87A78C33E767
07-evidence/d-group-handoff-20260817/D组交付-ZIP解压/validation-reports/valid_TC02.pdf,DEBAE9C0D834D4284AE277F502021F93D57F4986825231623FCFA51145FD35A9
07-evidence/es256-candidate-jwt-inspection/legal-person.header.json,130D6F4E100C8B7FE5DDC75C3720D70385EE4E1CB5CE0651C1E357483B0AA3D3
07-evidence/es256-candidate-jwt-inspection/legal-person.payload.json,A35D1B5F97C70301B2EBD566A0B4A1AE1B703A3870B835B0E165B8F010F712F4
07-evidence/es256-candidate-jwt-inspection/presentation.header.json,5E709280AFD29E239F6F6666AF0288B6FA901DE9878EB9FBC2448CA64486BAC9
07-evidence/es256-candidate-jwt-inspection/presentation.payload.json,0207A34B5681B61308CF90A21D0AA141F8B3CA095D778C94BF9125AFFE591E7C
07-evidence/es256-candidate-jwt-inspection/service-offering.header.json,130D6F4E100C8B7FE5DDC75C3720D70385EE4E1CB5CE0651C1E357483B0AA3D3
